"","Student.Code","Time","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","blanks"
"1761","PGXDH3133H",37,"B","B","B","B","C","C","E","C","B","D","E","A","A","F","AF","D","ACD","ABCF","AD","CD",0
"1762","NQXJR0888N",43,"B","B","E","D","A","C","E","C","B","D","F","B","A","F","CE","C","ABC","AEF","BDE","B",0
"1763","HFZIN8353T",29,"A","B","B","C","B","C","E","E","B","D","A","B","A","B","C","AB","ACD","AEF","BD","C",0
"1764","BCEXI1923V",40,"A","B","B","C","A","C","E","D","E","D","B","B","D","D","CE","B","CD","ABEG","ABE","ACD",0
"1765","GTDEZ2756S",30,"A","A","B","C","D","D","C","B","A","A","F","B","E","F","ABC","B","AB","ACE","BCE","CE",0
"1766","FJUUH0622U",37,"A","B","B","B","C","D","E","C","B","D","D","B","A","E","AF","B","ABCD","DG","BE","C",0
"1767","JBUIR2106R",31,"B","B","B","C","D","C","E","C","C","D","E","A","A","G","AF","D","ABCD","ABCE","ABCE","C",0
"1768","XCFCQ6175C",21,"A","B","B","D","D","D","E","C","C","E","E","A","A","C","C","D","ACD","BC","BD","C",0
"1769","BHWMM9986R",33,"B","B","B","E","B","D","E","C","C","A","A","B","C","B","ABC","D","AD","AD","E","C",0
"1770","RMBUV0369N",42,"B","B","B","D","F","C","E","C","C","E","D","A","A","E","C","AB","ACD","ACG","BC","BD",0
"1771","APQHZ3357S",32,"B","A","B","C","B","C","E","C","C","D","E","A","A","F","C","D","CD","DG","B","CD",0
"1772","WYQYQ1725M",23,"B","B","C","E","A","D","D","C","C","B","D","B","C","F","AF","D","AC","AF","BCE","AD",0
"1773","LTSPV8850J",32,"A","B","B","C","C","C","E","C","D","E","B","B","A","E","AF","AB","CD","ACDG","AC","CD",0
"1774","GKPJT1421V",36,"B","A","B","C","B","C","E","C","C","D","F","A","A","B","C","D","A","ABDG","B","C",0
"1775","IDDRR2560D",40,"B","B","B","C","D","C","E","C","A","D","C","A","A","G","C","D","ACD","ADG","AE","C",0
"1776","YZBLI5746K",32,"C","B","C","D","E","C","E","C","B","D","E","B","C","D","CF","AB","ACD","ABDG","ACD","CD",0
"1777","XKUPO5330B",29,"B","B","B","D","E","D","E","E","B","D","B","B","A","F","A","D","A","ABCEG","B","D",0
"1778","AMBQS6202S",29,"A","B","B","C","C","C","E","C","B","E","B","A","A","F","CE","D","AD","BE","BE","BE",0
"1779","AUQPI5608D",34,"A","B","B","C","D","C","E","C","C","D","E","A","A","F","C","D","CD","ACDF","ABD","CDE",0
"1780","YAOAW0463R",39,"B","B","B","C","C","E","E","C","B","D","B","A","A","D","AF","D","AB","BCEF","AB","D",0
"1781","UQRBW4413E",35,"A","A","C","D","B","E","D","C","A","D","D","C","D","B","ABCD","AB","ACD","AC","ABCDE","C",0
"1782","QPTBP2508D",25,"A","B","B","D","B","E","D","E","A","E","B","B","D","E","BC","B","AB","ABDF","CD","E",0
"1783","ZNUVB5103M",40,"A","A","B","C","C","D","D","C","C","D","E","A","A","F","C","D","BCD","BCDF","AB","CD",0
"1784","YDCOW1166I",31,"A","B","B","A","D","C","E","C","B","D","D","B","D","F","BE","B","B","BDF","B","BD",0
"1785","FPIOR0104X",22,"B","B","B","C","D","D","E","C","C","D","E","B","A","E","BCE","D","ACD","ACEF","B","C",0
"1786","VWKQJ6797W",48,"B","B","B","C","D","C","B","C","C","D","E","A","A","B","CD","D","ACD","ABCEF","A","C",0
"1787","CSOTV3692E",43,"B","B","B","C","E","C","E","C","C","D","E","A","A","F","AF","B","ACD","EF","B","B",0
"1788","TYBFB1556P",53,"B","B","B","D","C","E","E","C","A","B","A","B","A","G","AC","D","AD","BD","BC","B",0
"1789","NLSFB7394P",23,"A","A","B","D","C","C","C","E","B","A","C","B","C","D","AE","AD","AD","ABCEG","BD","CD",0
"1790","ATWUE4498Y",44,"B","B","B","C","D","C","E","C","C","D","E","B","C","B","C","D","ABCD","CG","B","C",0
"1791","CGDCO5666S",43,"B","B","B","D","A","C","E","C","C","D","F","B","A","F","C","D","ABCD","ABDF","A","C",0
"1792","SWTTN5872H",29,"A","B","B","E","F","E","D","C","B","D","E","A","A","D","C","ABC","A","ADG","BD","C",0
"1793","LRAPE4954Z",40,"B","B","B","D","B","C","C","D","B","D","E","B","C","F","C","B","ABCD","DF","ABE","C",0
"1794","JFGMK3766K",28,"A","B","B","C","C","E","C","C","D","C","D","A","C","G","ABCEF","C","AB","AD","BDE","C",0
"1795","DPJZR8292P",37,"B","B","B","C","B","E","C","C","C","D","F","B","C","B","AF","D","ACD","AC","ADE","C",0
"1796","JFPUU1346H",44,"B","B","B","E","D","C","E","C","C","D","E","A","A","G","CEF","D",NA,"AC","ABC","AF",1
"1797","NDXSZ1860B",36,"C","A","C","D","A","B","B","D","A","E","D","B","C","F","BE","ABD","BC","ABD","ACD","BCE",0
"1798","HPJZG3136E",36,"B","B","B","E","C","C","E","C","C","D","E","A","A","F","AC","D","AD","ABDF","ABC","C",0
"1799","LSVNO6219U",36,"B","B","B","C","C","C","E","C","C","D","E","B","A","B","AF","D","ACD","BCE","E","B",0
"1800","PQJWM4977F",47,"A","A","B","A","E","C","C","C","C","C","A","B","A","F","ABC","AB","ABCD","EF","BD","CD",0
"1801","YXQCZ2914M",35,"B","B","B","D","D","C","E","C","C","D","E","A","A","F","C","D","E","DG","B","C",0
"1802","AVAQU2716X",40,"B","B","B","C","C","C","E","C","C","D","D","A","A","F","AF","D","A","DF","ABC","C",0
"1803","EUTUC1666E",18,"A","A","B","D","C","D","C","E","B","C","E","D","E","C","AB","AB","CD",NA,"ABCD",NA,2
"1804","NHSJU7066C",44,"D","B","B","C","C","B","E","C","B","D","E","B","C","B","BE","C","AB","ACEF","ABD","C",0
"1805","BHXTT4796N",20,"A","A","B","E","D","E","A","C","D","E","F","B","D","D","BC","CD","E","AG","BC","B",0
"1806","MDSKD9794G",36,"A","B","B","D","D","C","D","A","B","E","B","A","B","E","ABF","D","ABD","ABCEF","BC","B",0
"1807","ATCNW0104I",38,"A","B","C","C","D","C","D","C","C","D","E","A","A","B","C","D","ACD","DF","B","C",0
"1808","CBVBB5850J",33,"B","B","B","C","C","E","E","C","C","D","E","A","A","D","C","B","ABCD","DG","ABC","D",0
"1809","HYRVF6734N",23,"A","A","C","D","A","D","D","B","D",NA,"A","C","D",NA,"BC","E","ABCD","D","DE","B",2
"1810","ALQPB3186I",23,"D","B","B","D","B","C","D","C","C","D","B","A","C","F","CF","B",NA,"ABCEG","BC","C",1
"1811","XQKMB9291N",31,"A","A","E","C","C","C","E","C","C","D","D","D","B","F","BE","B","AB","ABCD","ABE","BD",0
"1812","SWEFS1728N",29,"A","B","B","D","B","E","E","C","B","D","F","B","A","G","CE",NA,"AD","ADF","D","C",1
"1813","AYGWM4777N",32,"C","B","B","D","A","B","D","C","B","B","A","B","C","F","ACEF",NA,"ABCD","CEG","CD","CD",1
"1814","QISXS9438K",46,"B","B","B","D","D","C","E","C","C","D","E","B","C","F","AF","D","E","D","BC","C",0
"1815","QBOSK7627S",31,"A","B","B","D","C","C","E","C","A","D","B","D","C","D","CE","B","E","ABCE","ABE","D",0
"1816","QNLIW7278Q",25,"B","B","B","C","C","E","D","C","C","D","A","B","A","D","ABCEF","D","E","ABDG","DE","CD",0
"1817","NFABS6625H",42,"B","B","B","E","C","C","D","C","C","B","A","A","C","B","BE","B","CD","EFG","BCE","C",0
"1818","EGCAE0348N",31,"B","B","B","C","C","E","E","A","B","D","F","A","A","F","C","D","ABCD","ADG","DE","CD",0
"1819","INEAB6320K",45,"B","B","B","C","D","C","E","D","C","D","D","B","A","F","ABEF","AB","ABD","ACD","AD","BE",0
"1820","WPGCQ2334I",37,"A","B","B","C","C","D","E","E","E","E","D","B","A","B","BC","B","CD","BDG","AD","BD",0
"1821","LAJTX3134W",38,"A","A","C","C","D","C","A","D","E","D","D","B","A","D","D","AB","AD","ABDG","BC","D",0
"1822","BVMPZ7419U",46,"A","B","B","D","C","C","B","E","B","E","D","A","A","F","C","AB","E","ABEG","BC","C",0
"1823","ZVHNY8025P",30,"B","B","B","C","D","D","E","C","C","D","E","A","A","F","AE","B","BC","ABCEF",NA,NA,2
"1824","VRCRH4490E",27,"B","B","B","C","C","D","E","A","B","D",NA,"B","E","C","C","D","AC",NA,"CE","C",2
"1825","OZGDQ5577Y",46,"C","B","B","C","E","A","E","C","D","D","D","B","A","G","AF","D","ACD","EF","BCD","C",0
"1826","ZBMRH8840H",41,"B","A","B","D","D","B","E","C","B","D","E","B","A","D","CF","D","A","ABDG","AB","BD",0
"1827","NXUWB1364V",21,"B","B","B","C","D","C","B","C","D","D","D","A","A","B","CEF","D","AD","BG","B","C",0
"1828","LZVOR6131X",26,"B","B","B","C","D","D","E","A","B","D","B","C","B","F","C","B","ABD","CDF","AB","C",0
"1829","ZZGJD6552D",29,"D","B","B","D","C","D","A","C","A","E","A","E","A","F","AF","ABD","AC","ABCEF","AB","C",0
"1830","QDZHA2642E",24,"A","C","E","E","A","C","D","A","A","C","C","B","D","E","C","AD","C","BCE","CD","BCF",0
"1831","CVOAB1862E",35,"A","A","B","E","E","D","D","E","B","C","A","B","C","D","AF","BC","C","CE","BD","C",0
"1832","ALDCB0663Y",36,"B","B","B","E","B","C","E","C","B","D","D","A","A","B","AF","D","ACD","CDG","BE","C",0
"1833","BDZCS3267J",29,"A","B","B","C","C","C","E","E","D","D","B","B","C","B","CE","D","E","D","B","CD",0
"1834","PRZTW3901P",32,"B","B","B","C","D","C","E","C","C","D","E","B","A","F","C","D","E","DG","BC","C",0
"1835","HFTCT8234D",39,"A","B","B","C",NA,"E","E","A","A","D","A","B","A","C","C","D","A","BCEF","AB",NA,2
"1836","URGVU0588S",50,"B","B","B","C","D","C","E","C","C","B","B","A","A","F","C","D","ACD","ABCEF","AB","C",0
"1837","WXNDB2036T",47,"B","A","B","D","D","C","E","C","B","A","B","B","A","F","ABCEF","B","CD","ABCDE","ABE","A",0
"1838","EFQWX8406I",38,"C","B","B","D","C","C","E","C","C","D","A","A","D","F","C","D","D","BE","BD","A",0
"1839","UTHFQ7051Z",33,"B","A","B","C","C","C","E","C","E","B","A","B","A","G","BCE","D","A","ACDF","D","CD",0
"1840","TCMSN2080A",41,"A","A","B","C","D","E","D","B","C","D","E","B","C","F","ABD","B","ABD","ABCD","BE","B",0
"1841","BPSLG9228X",25,"B","C","B","E","D","E","C","C","A","C","B","A","A","D","C","D","E","BDF",NA,"CD",1
"1842","UQHCQ7470G",32,"B","B","B","E","D","E","E","C","C","D","E","A","A","F","C","AB","AD","BDG","AB","B",0
"1843","ZDYUS6124H",40,"B","B","B","C","C","A","E","C","A","E","E","B","A","F","C","D","AC","E","BCD","BD",0
"1844","GEQJQ1366O",39,"B","B","B","D","D","C","E","C","D","D","E","A","A","F","AF","B","ACD","ACDG","BC","C",0
"1845","CHIJP9710G",40,"B","B","B","C","F","C","E","C","C","D","A","A","A","B","C","D","ACD","ACEF","ABC","C",0
"1846","OKROT6226Y",40,"B","B","B","D","D","C","E","C","C","D","E","A","C","D","CE","D","B","DG","A","C",0
"1847","BGULL7124D",27,"A","B","C",NA,"C","E","C","D","E","D","A","A","C","B","BE","D","ABC","ADF","AB","CD",1
"1848","DJWAO1228W",52,"A","B","B","D","E","D","D","C","C","D","C","B","C","E","CE","B","BD","CDF","BCE","B",0
"1849","ULDRB3586S",35,"D","B","B","E","B","C","E","E","C","D","F","A","A","B","AF","D","E","DG","B","CD",0
"1850","VONFB5346C",55,"A","B","B","C","E","B","E","C","B","D","E","A","A","F","BE","D","E",NA,"BC","CD",1
"1851","AVYQK3727I",28,"A","B","B","A","B","E","D","C","B","C","F","B","A","C","BD","D","BD","AB","AC","D",0
"1852","DGHCJ0870A",50,"B","B","B","C","C","C","E","C","D","E","B","B","A","B","CEF","B","ABC","DF","ACE","C",0
"1853","UKYUW1017E",36,"A","B","B","E","E","C","E","C","E","D","B","A","B","E","C","B","BC","ABDG","AB","CD",0
"1854","PWDZA6730Y",35,"C","B","B","C","D","C","D","B","D","C","B","B","C","B",NA,"B","A","CDE","DE","B",1
"1855","KKVFV4880P",46,"B","B","B","C","E","C","E","D","C","D","A","A","C","B","C","D","AD","BG","B","C",0
"1856","VIJLJ9663A",38,"A","B","B","D","C","E","E","B","B","C","E","A","C","E","CE","B","D","EF","ABCDE","E",0
"1857","FDMKZ1242D",21,"C","B","B","D","C","E","C","C","B","D","C","A","C","E","AF","B","ABD","ACD","BE","CD",0
"1858","KNOGE7460E",28,"A","B","B","C","D","C","E","C","B","D","E","B","A","B","AF","D","AD","C","BD","B",0
"1859","OLIQC3510Y",32,"A","B","C","E","C","E","E","C","C","D","E","B","A","F","CF","D","AD","EF","AB","C",0
"1860","OJPKJ5943J",32,"A","B","A","E","E","C","D","E","E","C","F","B","B","G","CF","AD","AD","CF","D","DF",0
"1861","JOKFF4233I",34,"B","B","B","E","E","C","E","C","C","D","E","B","A","B","AF","B","ACD","ADG","AB","C",0
"1862","VXJVO4515T",35,"A","B","B","D","C","C","E","C","C","D","A","B","A","F","C","B","AC","ACG","AC","C",0
"1863","TIWSH2434G",40,"B","B","B","C","F","A","E","C","C","D","A","A","A","F","CE","D","AD","ABEF","A","C",0
"1864","UXPEK2553O",28,"A","B","B","C","D","C","E","C","C","D","D","B","C","B","BD","B","AD","DF","B","C",0
"1865","MKMJC2931I",38,"A","B","B","E","E","C","D","C","A","D","B","B","A","D","ABCDEF","CD","D","DF","AC","D",0
"1866","CEWRP5578S",31,"A","B","B","E","E","E","E","C","B","A","F","A","A","B","BE","CD","AC","ABCF","AC","BF",0
"1867","JBWLU1434W",33,"A","B","B","D","E","E","E","C","B","B","B","B","A","D","AF","B","ACD","BCG","C","ABCD",0
"1868","WPNQN3845X",47,"B","B","B","C","D","E","E","C","E","D","E","A","A","G","CE","D","ABCD","BG","BC","B",0
"1869","YTJVD3975L",28,"B","B","B","C","C","E","E","C","C","D","F","A","A","F","AE","AD","A","DF","B","C",0
"1870","VGGNS0128C",48,"A","B","B","B","E","E","E","D","B","D","E","B","A","B","C","D","AD","ADG","B","B",0
"1871","QADVI2353P",43,"A","A","A","E","C","E","E","E","B","C","F","B","C","F","CDEF","D","AB","ACD","BD","CD",0
"1872","XVMUY6496P",37,"A","B","B","D","C","E","E","C","E","D","A","B","C","F","CE","AB","ACD","BD","ABD","CD",0
"1873","HEWIO6196J",26,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","C","D","ACD","DG","B","C",0
"1874","ENMBA5927A",36,"B","B","B","C","A","C","D","C","B","D","F","B","E","D","BD","AB","E","ABC","BD","D",0
"1875","TXZOK4977A",30,"B","B","B","E","E","E","D","A","C","D","D","B","C","C","AD","B","AD","ADF","AB","BD",0
"1876","POSIN8323U",22,"A","A","B","E","E","C","E","C","B","D","F","B","C","E","C","AB","E","D","ABD","DE",0
"1877","VLPJM0930K",27,"B","B","B","D","D","C","E","C","C","D","F","A","C","F","BE","B","AC","BCDG","ABC","CDE",0
"1878","BPZXX9313D",33,"A","B","B","C","D","C","E","C","B","D","F","A","C","D","C","AB","ACD","DF","C","CD",0
"1879","IVFFY2309F",29,"B","B","B","E","D","E","E","C","C","D","D","A","A","B","CF","AD","CE","BEG","BD","C",0
"1880","THWDY9727P",29,"A","B","C","C","E","E","D","C","B","B","A","B","A","C","CD","D","ABCD","ABC","CD","E",0
"1881","DNKEW8036F",29,"B","B","B","C","E","C","E","E","C","E","A","A","E","F","BE","B","CD","AD","BE","CD",0
"1882","JBOZX7918W",49,"B","B","B","C","D","E","E","C","A","D","E","B","A","G","C","D","ACD","ADG","BC","DF",0
"1883","LENFC0857W",28,"B","A","B","C","C","E","E","C","C","D","A","A","A","G","CEF","D","BCE","ACEF","AD","B",0
"1884","NBJNZ9298D",39,"A","A","B","D","C","C","E","C","E","B","B","B","A","F","CDE","D","A",NA,"BE","CD",1
"1885","DCPDU0426M",30,"A","B","B","C","D","D","E","C","C","B","D","B","C","B","AC","B","E","AD","BCE","C",0
"1886","TUPWK6946S",44,"A","B","B","C","C","E","B","E","E","D","A","C","C",NA,"C","D","A","ABCEF",NA,"BD",2
"1887","UNWZL4237O",37,"B","A","B","C","D","C","E","C","C","D","E","A","A","B","AF","D","ACD","DG","BC","C",0
"1888","TKOXI9596L",28,"B","B","C","C","D","C","E","C","D","D","C","B","A","G","AF","D","A","ACEG","BCD","C",0
"1889","FTVZV8507P",23,"B","B","B","C","D","A","E","C","C","D","E","A","A","B","AF","D","BD","DF","B","C",0
"1890","VAGGG4387Z",33,"B","B","B","C","D","C","E","C","C","D","E","B","A","B","C","D","ACD","ACEF","B","C",0
"1891","QRBZP7908K",45,"B","B","B","C","D","E","B","C","C","D","D","A","A","B","C","D","ACD","C","AB","C",0
"1892","GSYKJ2933G",43,"B","B","B","D","C","A","E","C","C","E","B","A","A","F","BE","B","BCD","BEG","AB","C",0
"1893","WTOHP2876W",36,"B","B","C","C","C","D","D","C","C","E","F","B","B","D","B","AB","AD","ABD","BE","BD",0
"1894","TTJHE3752T",38,"B","A","B","D","C","C","E","C","B","D","D","A","A","C","C","AD","AD","ACDG","ABC","C",0
"1895","YZBKK8613P",28,"A","A","B","D","C","B","E","B","B","E","D","B","A","G","BE","B","ABCD","BCEF","BD","D",0
"1896","NYJAH2381P",47,"B","A","B","C","E","C","E","C","C","D","F","A","A",NA,"CEF","AD","AD","ABDF","CDE","C",1
"1897","RQSXB0106X",46,"A","B","B","C","C","E","E","C","C","D","F","A","B","E","ACEF","D","E","DF","ABC","B",0
"1898","EGSYY9013H",35,"B","B","B","E","D","C","E","D","D","B","E","A","A","F",NA,"B","CD","BCDF","E","C",1
"1899","FFNRL2478Q",31,"D","B","C","E","B","E","D","E","E","C","C","B","B","C","B","ABC","ABCD","EF","ACD","CDF",0
"1900","UQJEX3240P",45,"A","A","B","C","D","B","E","C","B","D","D","B","A","C","AF","E","CD","ABCEF","BCE","B",0
"1901","TRWPI0546P",25,"B","B","B","C","C","C","D","C","C","D","E","A","A","F","ABCDEF","B","AD","ABCE","BC","C",0
"1902","HCRRP4921P",36,"B","B","B","C","C","E","E","C","B","D","E","A","A","F","C","D","AD","DF","AB","C",0
"1903","QEBEN9661O",23,"B","B","B","C","D","C","E","C","C","D","E","B","A","E","C","D","ACD","DG","BC","C",0
"1904","PNNNO1839T",32,"D","B","B","E","C","A","D","C","C","D","D","B","A","F","CF","B","A","BDF","ABE","C",0
"1905","DGBVI6473D",42,"B","B","B","A","C","C","A","C","A","D","D","A","A","B","AF","C","ACD","AB","BD","E",0
"1906","PKRNO6031L",33,"B","B","B","C","A","C","E","C","C","D","E","B","A","E","CEF","B","ACD","CE","BE","C",0
"1907","ODUEG0976P",35,"A","B","B","D","D","C","E","C","C","D","E","B","A","B","BE","D","A","BCDF","AC","C",0
"1908","IPLVW7986O",53,"B","B","B","E","C","C","E","E","C","D","E","B","A","B","AF","B","E","ABDG","BDE","B",0
"1909","JXNNH0103V",46,"B","B","A","E","D","E","B","C","C","B","E","B","A","G","AF","BD","A","ACEF","AC","C",0
"1910","JPDHL2118Q",27,"A","A","B","C","B","A","E","C","C","D","E","B","A","C","C","D","B","DG","BE","CD",0
"1911","SROYQ4605H",23,"A","A","B","D","B","C","E","D","E","E","A","B","E","F","BE","AB","E","ADF","AC","ADF",0
"1912","UQWHL2357L",41,"B","B","B","E","D","D","E","C","C","D","F","A","A","E","AF","D","ACD","AEF","B","C",0
"1913","KNEAG4365Q",45,"B","B","B","C","C","C","E","C","C","D","E","A","A","F","C","D","ACD","EF","B","C",0
"1914","ALVRP6488Y",43,"B","B","B","C","D","C","E","C","C","D","E","A","A","C","C","A","ACD","DF","A","B",0
"1915","BODRW6298D",18,"D","B","B","E","D","A","E","C","C","D","A","B","A","F","C","D","AC","ACF","ABC","D",0
"1916","JJAQO2581E",47,"B","B","B","E","D","E","E","C","B","D","E","B","A","B","C","D","AC","AEF","A","C",0
"1917","DWJSJ1696N",23,"A","B","B","E","C","C","D","B","D","D","B","A","A","B","AB","D","AB",NA,"BE","CD",1
"1918","SYXZV2003F",41,"B","A","B","D",NA,"E","D","C","C","D","F","B","C","D","ACF","AB","BC","BCEF",NA,"CD",2
"1919","NWARO3350K",45,"B","A","B","E","A","E","D","C","B","E","D","A","C","F","AC","D","ABC","BDF","C","B",0
"1920","UAZPV3501Y",34,"D","B","C","C","C","C","A","C","C","E","F","B","A","E","AF","B","B","CE","ACD","C",0
"1921","WWFHV0241L",45,"B","B","B","C","D","C","E","C","C","D","E","A","A","B","C","D","ACD","DG","B","C",0
"1922","TFWWM5134I",27,"A","B","B","C","D","E","D","C","E","E","B","B","A","B","AC","B","D","EFG","AD","BD",0
"1923","JSOHG4620Y",30,"A","B","A","E","B","B","D","D","B","B",NA,"B","B","D",NA,NA,"C",NA,"AE","CD",4
"1924","LPPQD1139H",30,"A","A","B","C","F","C","D","C","E",NA,"D","B","A","B","AF","D","E","ABCF","C","C",1
"1925","CRWQF8127X",43,"A","C","B","E","D","C","A","E","B","D","F","C","C","D",NA,"ACD","AD","BEF","BCD","CD",1
"1926","GVILE6584S",41,"B","B","B","B","D","C","E","C","B","D","E","A","A","B","BE","D","A",NA,"C","CD",1
"1927","MNXKR7017L",39,"D","B","B","E","E","C","E","C","B","D","E","A","A","B","CF","B","ABCD","CEG","BC","BD",0
"1928","TMGMZ5381S",36,"B","B","B","C","D","C","E","E","C","D","E","A","A",NA,"C","D","ACD","ABCEF","B","C",1
"1929","XPWME0042I",46,"B","B","B","C","D","C","E","C","C","D","E","A","A","F","C","D","ACD","EF","BD","C",0
"1930","LPBWC5452R",35,"A","A","C","C","E","E","D","B","D","C","F","C","C","F","ABC","CDE","ABCD","BDG","ABC","BCE",0
"1931","KGRHA2223J",26,"B","B","B","C","D","C","E","C","C","D","B","A","A","G","C","D","ACD","ADG","B","C",0
"1932","XXCPP9947R",21,"A","B","B","C","C","C","E","C","B","D","F","B","B","F","ADF","D","BD","EF","AB",NA,1
"1933","OZFAC5425Y",31,"B","B","D","C","D","A","E","C","C","D","E","A","A","F","CF","D","E","ABDG","B","C",0
"1934","IQTRJ1556N",21,"B","B","B","C","B","C","E","C","C","D","E","B","A","D","C","D","ACD","BDF","B","CD",0
"1935","ZTFBJ3952T",24,"A","B","B","E","E","C","E","C","B","D","E","A","E","F","AF","B","AD","ABCDF","A","C",0
"1936","SAIMY3300A",33,"B","B","B","E","B","C","E","C","C","D","D","A","A","B","AF","B","AD","DG","C","C",0
"1937","CTLVY2707K",29,"A","B","C","E","F","B","C","B","E","D","A","B","A","F","ABC","A","D","CEF",NA,"CD",1
"1938","DMFXH0317C",40,"B","B","B","D","D","D","E","C","C","D","D","A","A","E","C","B","E","AG","B","C",0
"1939","BUGVO7685E",13,"A","B","B","E","C","C","D","B","E","B","A","B","C","G","BDF","AC","ABCD",NA,"BE","ADE",1
"1940","LTPZO7676Y",26,"D","A","D","E","E","E","E","C","B","D","E","B","C","B","C","D","E","EF","AB","B",0
"1941","INPKE7810D",23,"A","A","B","C","F","D","E","C","B","D","D","A","A","F","ABCEF","B","ABCD","ADG","ABD","AD",0
"1942","GOEYR4249F",43,"A","B","B","C","D","D","D","C","C","D","F","D","B","B","CE","AB","AD","ABCEF","A","BD",0
"1943","EPULY5367Z",32,"C","B","E","D","A","D","C","C","A","D","A","B","B","D","C","D","AB","BD","BC","E",0
"1944","DAEGK4410M",18,"B","B","B","C","A","B","C","D","C","E","D","D","C","F","BCE","AB","BD","ABC","BE","CD",0
"1945","KTHKJ7657U",18,"B","B","B","C","B","E","E","C","C","D","E","B","A","B","C","D","A","EF","B","CD",0
"1946","ANHOM9204T",20,"A","C","C","D","A","A","C","C","A","B","A","D","D","F","AC","D","ADE","BCG","BE","B",0
"1947","NKQOV5301Z",32,"B","B","C","C","E","C","E","C","C","D","E","A","A","F","AD","AB","AB","AD","B","CD",0
"1948","MRFOA8596Q",32,"A","B","B","D","C","C","D","E","B","D","D","C","A","G","CE","D","CD","BCEG","ABE","CD",0
"1949","VTHQV1997P",32,"D","A","A","C","C","C",NA,"E","A","D",NA,NA,"A","G","AF","BD","C","DF","AD","C",3
"1950","IAGST3786O",37,"C","A","B","E","C","B","C","B","A","E","E","B","A","F","AF","AB","AD","A","B","CD",0
"1951","QGKLE3115L",35,"B","A","B","D","A","C","D","C","C","E","F","A","C","C","AF","D","ACD","AEF","AD","CD",0
"1952","KFTXM7157J",35,"D","B","B","C","E","C","E","C","C","D","E","A","A","B","BE","AB","ACD","ACEF","AB","C",0
"1953","FRBVA1640V",27,"A","B","B","E","B","E","C","E","A","E","F","C","E","F","BD","C",NA,"AEG","AC","ABCD",1
"1954","HLBOX7769M",32,"B","B","B","C","B","C","E","C","E","D","B","E","A","F","AF","B","A","ABDG","BC","C",0
"1955","VASSM6081H",34,"A","B","B","C",NA,"E","E","C","B","D","E","B","A","G","C","B","D","ABG","BC","CD",1
"1956","DGCXB5713H",21,"A","B","B","D","D","C","E","C","B","B","D","A","C","G","BCE","B","ABCD","ACEF","ABD","AE",0
"1957","JKBTW9773F",33,"B","B","A","A","D","E","E","C","C","D","F","A","C","G","ABCDEF","D","BD","DF","ABE","BD",0
"1958","OSVON0433U",22,"B","B","B","C","C","C","E","C","C","D","A","B","A","F","C","B","AD","EF","BE","CD",0
"1959","SGPAZ4113U",48,"B","B","B","C","D","C","D","C","A","D","E","A","A","B","C","D","CD","DF","AB","C",0
"1960","TFNTE8003C",26,"B","B","B","C","D","C","E","C","C","D","D","A","A","F","AF","D","B","ADG","C","C",0
"1961","OMIRV7926Q",41,"A","B","B","D","C","C","E","C","C","D","E","B","C","F","CF","D","ABCD","DG","BC","BD",0
"1962","FLBWO7403L",27,"B","B","D","C","B","E","E","A","C","D","A","A","A","G","C","B","ABCD","BCEF","AD","D",0
"1963","RSDZX1645T",37,"B","B","B","C","C","C","E","C","C","B","D","B","A","C","C","AB","AD","ADF","AB","B",0
"1964","HXCOR2771F",44,"A","A","B","C","B","B","D","D","B","E","A","B","E","G","BCE","CD","ABD","BC","AC","CE",0
"1965","XLDEN6332T",43,"A","B","B","C","D","D","D","C","C","D","E","B","A","G","AF","D","A","AC","CE","CD",0
"1966","GDXSN0122I",32,"B","B","B","E","D","C","E","C","C","D","E","A","A","F","C","D","A","BCEF","BE","C",0
"1967","OTYTX9501U",41,"B","B","B","C","A","E","E","C","B","D","B","A","A","A","AD","AB","CD","CDG","AD","C",0
"1968","RINYU3954V",37,"B","B","D","D","C","D","C","D","A","E","D","B","C","B","AF","B","B","EF","AD","CD",0
"1969","IHQDC8847B",18,"A","B","D","D","C","C","D","C","B","D","F","B","A","B","C","CD","AD","AF","ABC","C",0
"1970","ROBLW2847V",32,"A","B","B","D","D","E","E","C","B","D","B","A","A","F","ABC","D","AD","D","AD","CD",0
"1971","LPMYP0903X",49,"B","B","B","D","D","D","E","C","C","D","A","B","A","F","ABCEF","D","AD","DG","ABE","C",0
"1972","GMSPF8397O",37,"B","B","B","C","D","D","E","C","C","D","D","B","A","G","AC","D","A","ACG","AB","C",0
"1973","YLMJU9776F",32,"A","B","B","E","D","B","E","C","C","D","A","B","C","E","AF","B","ACD","ADF","ABD","EF",0
"1974","NVYLX9867I",32,"B","B","B","C","E","D","B","C","A","D","E",NA,"A","B","C","B","AD","G","B","C",1
"1975","WFMSY7245Y",43,"B","B","B","C",NA,"C","E","C","C","D","E","D","A","F","AF","D","ACD","AF","AC","B",1
"1976","KCVCZ7184L",44,"B","B","B","C","D","D","E","C","B","D","D","B","C","G","CF","D","ACD","ABCEF","BC","CD",0
